Unnamed: 0,created_at,favorite_count,full_text,id,retweet_count,user.id,user.name
62,2020-11-11,11,lucky trump biden pave way competent autocrat george monbiot,1326404990362144769,8,16042794,Guardian US
63,2020-11-11,12,britney spear perform father charge career lawyer argue,1326376386945294337,4,16042794,Guardian US
64,2020-11-11,24,postal worker recant voter fraud claim republican inquiry,1326363680758435842,12,16042794,Guardian US
65,2020-11-11,6,california county return restrictive covid rule amid hospitalization surge,1326328747507806209,4,16042794,Guardian US
66,2020-11-11,27,murder hornet nest find queen capable spawn new nest,1326324302254370816,18,16042794,Guardian US
67,2020-11-11,2,tiger woods give seal approval incredible bryson dechambeau,1326317751842050050,1,16042794,Guardian US
68,2020-11-11,4,coronavirus live news government scramble secure vaccine dose infection seventh day row,1326313872706375682,1,16042794,Guardian US
69,2020-11-10,16,embarrassment joe biden criticize trump refusal concede election,1326295509259194368,3,16042794,Guardian US
70,2020-11-10,16,jimmy kimmel darth tax evader topple america respond dance party,1326288559746260997,2,16042794,Guardian US
71,2020-11-10,2,pond pin jon rahm hit amazing water shoot master practice video,1326284107480002569,0,16042794,Guardian US
72,2020-11-10,0,augusta king caddie willie lee stokes set tone era ewan murray,1326277954582818817,2,16042794,Guardian US
73,2020-11-10,3,voter turnout increase key state visual guide,1326274513202532352,4,16042794,Guardian US
74,2020-11-10,13,begin transition biden harris defend obamacare video,1326271343357272068,3,16042794,Guardian US
75,2020-11-10,6,pompeo make baseless claim smooth transition second trump administration,1326271341453074435,6,16042794,Guardian US
76,2020-11-10,0,ftse recover high level june vaccine unveil,1326269827493859339,3,16042794,Guardian US
77,2020-11-10,3,gunman shoot dead female libyan dissident busy benghazi street,1326266253007347714,3,16042794,Guardian US
78,2020-11-10,1,pittsburgh ben roethlisberger steeler add covid list,1326261024278917124,0,16042794,Guardian US
79,2020-11-10,17,boris johnson phone congratulate joe biden discuss close relationship,1326250081847218177,4,16042794,Guardian US
80,2020-11-10,1,plan longest race calendar vietnam gp cancel,1326246344017764353,0,16042794,Guardian US
81,2020-11-10,6,peru new president accuse coup oust predecessor,1326242775994683392,3,16042794,Guardian US
82,2020-11-10,4,new research shed light alexander hamilton tie slavery,1326241449441193988,5,16042794,Guardian US
83,2020-11-10,6,mexico police open fire femicide protest canc n,1326238339574476800,8,16042794,Guardian US
84,2020-11-10,7,trump vote fraud claim viral social medium despite curb,1326234647353831424,4,16042794,Guardian US
85,2020-11-10,31,donald trump late endeavor ask supporter pay debt,1326231357111066635,9,16042794,Guardian US
86,2020-11-10,0,spanish statue bodge new rival borja monkey christ,1326230887139258374,0,16042794,Guardian US
87,2020-11-10,19,doj official condemn barr approval voter fraud inquire evidence,1326227411743236097,5,16042794,Guardian US
88,2020-11-10,1,saeb erekat obituary,1326224571553509376,0,16042794,Guardian US
89,2020-11-10,1,alberto aquilani lose liverpool forget,1326220715012612096,0,16042794,Guardian US
90,2020-11-10,7,trumpism endure dangerously divide country letter,1326217138194051075,4,16042794,Guardian US
91,2020-11-10,3,charming case mistaken identity brief letter,1326216157037268999,0,16042794,Guardian US
92,2020-11-10,1,joe biden kamala harris unite america trump video explainer,1326214907885461506,2,16042794,Guardian US
93,2020-11-10,17,trump destine lose blame walter shapiro,1326213596691488768,8,16042794,Guardian US
94,2020-11-10,5,joe biden victory mark end chapter new begin lloyd green,1326210728223707136,3,16042794,Guardian US
95,2020-11-10,0,trump longshot election lawsuit thing stand,1326203973934657543,2,16042794,Guardian US
96,2020-11-10,20,republicans election free fair despite evidence fraud study,1326196725745405956,9,16042794,Guardian US
97,2020-11-10,7,record seventh consecutive day new covid case,1326192626983448579,9,16042794,Guardian US
98,2020-11-10,1,obamacare actually supreme court rule,1326188947010187265,4,16042794,Guardian US
99,2020-11-10,6,amazon charge abuse eu competition rule,1326186452242341898,3,16042794,Guardian US
100,2020-11-10,11,biden listen stupid scientist guest trump election party oliverlaughland result roll confidence celebration gradually give way frustration disappointment,1326182827143159809,2,16042794,Guardian US
101,2020-11-10,1,limit mind final episode washington oliverlaughland join grassroots activist celebrate biden win street florida watch episode,1326179605045276673,2,16042794,Guardian US
102,2020-11-10,3,trump s justice department argue end obamacare supreme court,1326179580428898305,1,16042794,Guardian US
103,2020-11-10,3,giuliani season total landscape farce remind marina hyde,1326176054705315843,3,16042794,Guardian US
